"","blockNumber","buyer","category","createdAt","nftAddress","status","parcel_x_coordinate","parcel_y_coordinate","value_usd","zone","createdAtDay","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana"
"1","12676901","0x5ddd56daaedc27296510eaaf878894c202694117","parcel",2021-06-20 19:19:41,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-42,-24,2752.1424,"2",2021-06-20,"0x0d884ef9563b62179f8b1c91e371cd0f200f6b4e605fd006d43e8ca071a60776",4500,"https://api.decentraland.org/v1/parcels/-42/-24/map.png","0x5ddd56daaedc27296510eaaf878894c202694117","0"
"2","12678599","0xcd68245d641be2902fa9efe921e4ff343a500a9b","parcel",2021-06-20 19:03:37,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-41,-24,2752.1424,"2",2021-06-20,"0x48c7df000782e9fed19d18c4b273c840b41f8c0eb4454f5e45039abfa58d1325",4500,"https://api.decentraland.org/v1/parcels/-41/-24/map.png","0xcd68245d641be2902fa9efe921e4ff343a500a9b","0"
"3","12674818","0xd600ee8c118b0617cac8b0c297eaa54631857fb1","parcel",2021-06-20 18:49:11,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-86,-84,2767.788348,"18",2021-06-20,"0x214bdc8675ab386ee3125311e813bc3d4758d785a9167fb9259eaad8f6a614b3",4580,"https://api.decentraland.org/v1/parcels/-86/-84/map.png","0xd600ee8c118b0617cac8b0c297eaa54631857fb1","0"
"4","12659571","0xa01424b7540adbb792375dcf97b733a5d68ad347","parcel",2021-06-18 00:59:40,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-41,64,3787.5585,"7",2021-06-18,"0x60ed3a9993cc6f138d15c70b3f2ecd1c9b1f8c729a14372b3aa4dd8e672a2733",5500,"https://api.decentraland.org/v1/parcels/-41/64/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0"
"5","12654219","0x9bb7fb5028c304963abdceca55b4760740c5ecca","parcel",2021-06-17 08:32:55,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",140,45,3387.1228422,"8",2021-06-17,"0x21d9b58ec5b2d069c3bc5e51dba2ba7b1bbb2389878d9d20f1301c230bc3ab19",4699,"https://api.decentraland.org/v1/parcels/140/45/map.png","0x9bb7fb5028c304963abdceca55b4760740c5ecca","0"
"6","12655538","0xd7627772848a266d55a2607c5e48c2e5a79951de","parcel",2021-06-16 16:11:14,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-108,-91,3293.89225,"18",2021-06-16,"0xa77fa8444e7515e99bb334e179158ed184f26b1110a54011a40c6546fb89ef54",4750,"https://api.decentraland.org/v1/parcels/-108/-91/map.png","0xd7627772848a266d55a2607c5e48c2e5a79951de","0"
"7","12649162","0x9234ddbf27882ede952d66afc3504b8b9a0b25b1","parcel",2021-06-16 14:52:15,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-18,-20,3356.88485,"2",2021-06-16,"0x4a59225f145c7d8185bca01e5091eedadb5ce0f94026d5a4763887af669765b2",4750,"https://api.decentraland.org/v1/parcels/-18/-20/map.png","0x9234ddbf27882ede952d66afc3504b8b9a0b25b1","0"
"8","12647584","0x3640469433e80ccc945baf84ec12d3c39abcac9c","parcel",2021-06-16 12:36:44,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-49,135,3169.02418,"13",2021-06-16,"0xbdf83c307d4051b8116771ea070d0b92b081c13fcba1e78833a69bccf4590d20",4600,"https://api.decentraland.org/v1/parcels/-49/135/map.png","0x3640469433e80ccc945baf84ec12d3c39abcac9c","0"
"9","12661977","0x017af4481e13023209f6c15f6cfdefff3c695534","parcel",2021-06-15 16:13:38,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-82,-105,3079.196536,"18",2021-06-15,"0x5f986a5b8d4e5b5300b3ad09e552b4ab2595fd16be93c3d10af43ed161acda3b",4420,"https://api.decentraland.org/v1/parcels/-82/-105/map.png","0x017af4481e13023209f6c15f6cfdefff3c695534","0"
"10","12649040","0x135b17eaa25e3e0f3ce8f0a575bcc8867031f77c","parcel",2021-06-15 09:27:36,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",49,75,8803.7525,"6",2021-06-15,"0xc8307f9e6b201300cb80172ec6cb78b4530f86faeaf5216e35429daadb30c63b",12500,"https://api.decentraland.org/v1/parcels/49/75/map.png","0x135b17eaa25e3e0f3ce8f0a575bcc8867031f77c","0"
"11","12634472","0x26648e3f7c7b12e55f6637f4bb5bd75314af943a","parcel",2021-06-14 13:17:58,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-13,1,32996.6469552,"4",2021-06-14,"0x8aab92527c11c992cb0b59c229072768d6901f1982c510c0d98055595fc0e7eb",47888,"https://api.decentraland.org/v1/parcels/-13/1/map.png","0x26648e3f7c7b12e55f6637f4bb5bd75314af943a","0"
"12","12646537","0x2cd1b8946116c5d4b0f47305bb1cc2f27a30e845","parcel",2021-06-14 12:45:37,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-83,-105,3010.300228,"18",2021-06-14,"0x66f5dfbc1c3cd9debde1c28f640420dab6d0d01dcfa308d544372115d90fa99a",4420,"https://api.decentraland.org/v1/parcels/-83/-105/map.png","0x2cd1b8946116c5d4b0f47305bb1cc2f27a30e845","0"
"13","12659549","0x2c47e2f0d2919c298255c1171fd22e783dfd64a6","parcel",2021-06-13 22:21:46,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-47,-14,3540.6232727,"2",2021-06-13,"0x52c836c12695f13e5be3976c650bdffabd0d1a57275775783ff169b932eac007",5111,"https://api.decentraland.org/v1/parcels/-47/-14/map.png","0x2c47e2f0d2919c298255c1171fd22e783dfd64a6","0"
"14","12638280","0xf8dbddf1a5da0b1ad72f7cf843829549e574b8be","parcel",2021-06-13 13:06:33,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-53,-84,3086.15575,"18",2021-06-13,"0xcb358d616b1faae7234cf1e6d18a5c96e97b1cfd86bd689e3e6b4b289567adb6",4750,"https://api.decentraland.org/v1/parcels/-53/-84/map.png","0xf8dbddf1a5da0b1ad72f7cf843829549e574b8be","0"
"15","12671098","0xb507ee2d5b515e405b200147ae3265cb7c69ced0","parcel",2021-06-13 13:01:26,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-54,-84,3086.15575,"18",2021-06-13,"0x3a9faa76629423adfe6420f61a678ab8d488f56cc0c5cd260fba3c9332465c16",4750,"https://api.decentraland.org/v1/parcels/-54/-84/map.png","0xb507ee2d5b515e405b200147ae3265cb7c69ced0","0"
"16","12632260","0x9ee3871c347533d6870a6e7203890d12283760e5","parcel",2021-06-13 07:06:02,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-55,-85,3054.50321,"18",2021-06-13,"0xd74fdd79e938ef455061442d2d10afe73cee4ce359ac63f563f7ae6a4eb03609",4700,"https://api.decentraland.org/v1/parcels/-55/-85/map.png","0x9ee3871c347533d6870a6e7203890d12283760e5","0"
"17","12626296","0x5ce213893956bbf4249a7f8a079331280065eec6","parcel",2021-06-13 02:00:59,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-55,-85,2874.43433,"18",2021-06-13,"0xe9af54cbcc530d0fdb4d6730e60ce408d50640b862e6a509e4d58e4b6a22316d",4300,"https://api.decentraland.org/v1/parcels/-55/-85/map.png","0x5ce213893956bbf4249a7f8a079331280065eec6","0"
"18","12666975","0x0fe4739ed4cc3f1da905da59598e29eac179b5f3","parcel",2021-06-13 00:28:54,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-123,-93,3707.703455,"18",2021-06-13,"0x14e0c3162bb0539ace07ff0d143b05ef2d1572e8011a5638f15e93f40c1a6dc9",5650,"https://api.decentraland.org/v1/parcels/-123/-93/map.png","0x0fe4739ed4cc3f1da905da59598e29eac179b5f3","0"
"19","12623843","0xa01424b7540adbb792375dcf97b733a5d68ad347","parcel",2021-06-12 21:46:25,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-120,-39,2231.9444499,"11",2021-06-12,"0x01a3b66f1bacf5410e41829a1eb7a0c932098c509dd2bb5aec98c719f5df8356",3333,"https://api.decentraland.org/v1/parcels/-120/-39/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0"
"20","12628954","0x26648e3f7c7b12e55f6637f4bb5bd75314af943a","parcel",2021-06-12 18:35:13,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-25,2,7964.98972,"4",2021-06-12,"0x8baa85effe939691f6ab486d5ac3ff9ac987040f0b48146a0d3781761433ea83",11888,"https://api.decentraland.org/v1/parcels/-25/2/map.png","0x26648e3f7c7b12e55f6637f4bb5bd75314af943a","0"
"21","12622888","0x5ce213893956bbf4249a7f8a079331280065eec6","parcel",2021-06-12 18:02:16,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",42,-11,2948.011,"3",2021-06-12,"0x49a33db1adec77fe766430656e85ea40a8aaea355cf37681c3a7eb36fd273a9f",4400,"https://api.decentraland.org/v1/parcels/42/-11/map.png","0x5ce213893956bbf4249a7f8a079331280065eec6","0"
"22","12624516","0xb76b197d6e396682c042872aa795ce1f77dbd238","parcel",2021-06-12 03:25:45,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-8,-53,4259.21895,"10",2021-06-12,"0x894c825eaf788d3dac11b6e2f948425788d9460f73689d7eb02a0260b4b40fb6",6750,"https://api.decentraland.org/v1/parcels/-8/-53/map.png","0xb76b197d6e396682c042872aa795ce1f77dbd238","0"
"23","12640762","0x8acfe17a5fe62966a27e579e28c10e936de614f2","parcel",2021-06-12 02:20:52,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",68,-2,4469.4412,"12",2021-06-12,"0xb50458b8e7699c7d3c21a4a4fe7ab7ccaa05e78c015c3c5a568fdae00dfa10b9",7000,"https://api.decentraland.org/v1/parcels/68/-2/map.png","0x8acfe17a5fe62966a27e579e28c10e936de614f2","0"
"24","12633691","0x1cd52740701389eecaefb4f96c12ad9fca4a4ba0","parcel",2021-06-11 11:59:32,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-116,-33,3544.3221975,"11",2021-06-11,"0xc3af9f0239645fc2ea48acdc8c6c3b60c670166a4fbd4f1f7347bec77de68345",4725,"https://api.decentraland.org/v1/parcels/-116/-33/map.png","0x1cd52740701389eecaefb4f96c12ad9fca4a4ba0","0"
"25","12621010","0x1c0432982e594334026264d09b4f204bd243cad6","parcel",2021-06-11 08:16:07,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-104,-55,4110.3257412,"11",2021-06-11,"0x4c91de0c50328d7631088ddca917fb83ac41b3c605d2b4b6e2055c482e26ae99",5978,"https://api.decentraland.org/v1/parcels/-104/-55/map.png","0x1c0432982e594334026264d09b4f204bd243cad6","0"
"26","12623138","0xd635a5d47bf9365a7c6d1bf230c445ebdd1075de","parcel",2021-06-11 04:20:35,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-23,-99,4799.63324,"16",2021-06-11,"0x9bd1b1fd07054b72399c1064c31a537329a15e3eb812256ea888b121b87f6f4f",6995,"https://api.decentraland.org/v1/parcels/-23/-99/map.png","0xd635a5d47bf9365a7c6d1bf230c445ebdd1075de","0"
